x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,x21,y21,z21,Label
0,0,0,0.057348728,-0.027192414,-0.037233376,0.093530625,-0.108817399,-0.051273794,0.062749356,-0.191231549,-0.064384186,0.029474139,-0.254149497,-0.074946599,0.148482323,-0.220480382,-0.014629137,0.219092071,-0.280160487,-0.040101775,0.263254076,-0.3229568,-0.057743655,0.2965478,-0.35924083,-0.067830333,0.106041312,-0.254776895,-0.015993237,0.145204127,-0.371374071,-0.046129641,0.167660058,-0.44410944,-0.067170279,0.185328633,-0.506051749,-0.075436996,0.057663143,-0.250472128,-0.022562075,0.054907382,-0.296231568,-0.072573738,0.044410408,-0.230050325,-0.08713481,0.035328209,-0.18336767,-0.079663144,0.012720317,-0.22574681,-0.031147302,0.012637168,-0.256434619,-0.070481041,0.010164768,-0.2030406,-0.072316029,0.009254515,-0.160320342,-0.062017677,OpenPalm
0,0,0,0.05431895,-0.03420347,-0.039836827,0.080054983,-0.115047157,-0.053072586,0.045557722,-0.19321245,-0.064575835,0.008947983,-0.249971926,-0.073219708,0.135364369,-0.228868842,-0.01348666,0.196454242,-0.304857671,-0.033901646,0.231439933,-0.356521994,-0.047533396,0.255732879,-0.400943786,-0.055281944,0.093862548,-0.259342432,-0.0116069,0.12504451,-0.375429988,-0.036671086,0.141547605,-0.447343588,-0.053742479,0.153512374,-0.506639361,-0.059578269,0.048766568,-0.25178808,-0.015579463,0.035041437,-0.299069107,-0.060798942,0.027303293,-0.233391225,-0.076152577,0.02340968,-0.186292768,-0.070033385,0.007478401,-0.225422263,-0.021952708,-1.49E-05,-0.263141096,-0.057714987,-0.002408639,-0.212782681,-0.06116557,-0.000356868,-0.170266151,-0.052972472,
0,0,0,0.05417943,-0.033652842,-0.039122732,0.079512388,-0.113960385,-0.052641151,0.044843882,-0.192403257,-0.064607607,0.008433163,-0.249036074,-0.073582047,0.134105444,-0.229411602,-0.013670063,0.193404317,-0.307431281,-0.034748832,0.227010518,-0.36039117,-0.048425393,0.249776393,-0.405440032,-0.055844067,0.092408508,-0.259248137,-0.012321064,0.121612996,-0.376241058,-0.038576307,0.136523366,-0.449066311,-0.055645676,0.146517098,-0.508926868,-0.060949726,0.047623456,-0.251832664,-0.016703593,0.032597691,-0.29781121,-0.062314464,0.025989145,-0.232168198,-0.0765671,0.022558033,-0.185087383,-0.069383846,0.005940795,-0.226532161,-0.023537975,-0.000737622,-0.264755487,-0.058861202,-0.002352893,-0.214792192,-0.061299523,-0.000366181,-0.172578812,-0.052211197,
0,0,0,0.05172497,-0.032625794,-0.040735393,0.075423509,-0.110356927,-0.054853137,0.04159984,-0.18960768,-0.066882938,0.006603539,-0.248757601,-0.075793229,0.13225618,-0.225518942,-0.017479566,0.189802378,-0.307544112,-0.03910461,0.221672863,-0.362962186,-0.05267167,0.242655069,-0.409871101,-0.05984072,0.090694845,-0.255074084,-0.014777983,0.118649304,-0.372480512,-0.041686181,0.131669134,-0.447130561,-0.059025649,0.140073895,-0.507774591,-0.064620249,0.046662986,-0.248682201,-0.017736453,0.029291391,-0.297422647,-0.063084758,0.023029745,-0.233819306,-0.077810458,0.02076906,-0.18717283,-0.071368485,0.005630285,-0.225150347,-0.023245031,-0.00186038,-0.265095949,-0.057914163,-0.003675044,-0.217243195,-0.060762267,-0.001079008,-0.175788641,-0.052328202,
0,0,0,0.052500784,-0.031445086,-0.038668289,0.075984061,-0.109490514,-0.053473732,0.038241118,-0.187131822,-0.066860865,3.34E-05,-0.243358135,-0.077530767,0.128840774,-0.227129698,-0.017991489,0.185612887,-0.311564565,-0.040213014,0.215325058,-0.369378954,-0.054214879,0.234389693,-0.418954611,-0.062021716,0.086087584,-0.256268084,-0.017247318,0.113637686,-0.37387681,-0.045429959,0.124453008,-0.44993186,-0.063467498,0.131060481,-0.513113946,-0.069384175,0.041929603,-0.249157071,-0.021627287,0.023794115,-0.302005589,-0.067640851,0.017883956,-0.234551013,-0.080932612,0.016200662,-0.184790134,-0.073380033,0.000327915,-0.22292155,-0.028347016,-0.008888811,-0.263430238,-0.064365136,-0.010357365,-0.212277651,-0.066057774,-0.007181913,-0.167662024,-0.056204489,
0,0,0,0.050183505,-0.033157945,-0.037776692,0.071203083,-0.113715708,-0.052116281,0.032671899,-0.191128016,-0.065110067,-0.004912809,-0.247276247,-0.075200634,0.122813821,-0.229695022,-0.01773618,0.176256776,-0.315852404,-0.040627295,0.204617321,-0.373929262,-0.054378627,0.22313711,-0.423046023,-0.061464487,0.080818564,-0.257685006,-0.017077469,0.10480082,-0.376212984,-0.045689104,0.112502784,-0.452623367,-0.062662924,0.11655727,-0.515494436,-0.067304837,0.038073093,-0.250342667,-0.021638973,0.015723616,-0.301571131,-0.068323532,0.010603905,-0.23692292,-0.081406059,0.010475516,-0.188015163,-0.073220315,-0.00158003,-0.224764884,-0.02849914,-0.015477881,-0.26322633,-0.064470666,-0.016163647,-0.213854074,-0.066680426,-0.010831699,-0.17085743,-0.057015559,
0,0,0,0.048468545,-0.033798158,-0.037773545,0.066806331,-0.111125469,-0.052657693,0.030229136,-0.184280038,-0.066454223,-0.006540909,-0.240329742,-0.077352411,0.117478773,-0.234345913,-0.017210958,0.16563575,-0.323459148,-0.039966217,0.189629033,-0.382831216,-0.054029367,0.205347732,-0.43336916,-0.061379819,0.075724199,-0.259995461,-0.016277696,0.095336452,-0.376886964,-0.044682912,0.099380746,-0.451959282,-0.062164988,0.101194993,-0.51158914,-0.067271366,0.033624426,-0.251086473,-0.020511736,0.010798916,-0.298718035,-0.065511285,0.003501087,-0.238342226,-0.078360855,0.00187248,-0.190597057,-0.070665023,-0.004850373,-0.223670065,-0.027222722,-0.021971092,-0.25955677,-0.061682544,-0.02422905,-0.212698281,-0.06359472,-0.019608557,-0.169601262,-0.053961511,
0,0,0,0.047109976,-0.036430657,-0.037590663,0.059956089,-0.117177427,-0.052166978,0.017179713,-0.185625911,-0.065395335,-0.023442119,-0.234564722,-0.076077382,0.103170469,-0.247479498,-0.019375554,0.145184919,-0.343316585,-0.042697354,0.166971222,-0.406698585,-0.056693255,0.179731116,-0.460739613,-0.063123631,0.061606154,-0.268978894,-0.017530922,0.077511296,-0.386788487,-0.045415389,0.074485049,-0.46078831,-0.062111756,0.069449827,-0.518900543,-0.065666738,0.020901367,-0.258209288,-0.020542807,-0.006656066,-0.299010932,-0.063402484,-0.01580222,-0.241831779,-0.077172014,-0.01767756,-0.195064366,-0.069912615,-0.014399007,-0.228775978,-0.026112203,-0.040508375,-0.250021398,-0.058619256,-0.042137727,-0.200067341,-0.061173833,-0.035666123,-0.154537976,-0.051570172,
0,0,0,0.046941653,-0.038231313,-0.03869317,0.057202175,-0.116189003,-0.055911309,0.009940907,-0.179158688,-0.070770963,-0.033724263,-0.224988997,-0.084181613,0.092632756,-0.257340372,-0.027256095,0.123654649,-0.359146088,-0.052021872,0.139831051,-0.42429775,-0.068794011,0.148643896,-0.48077637,-0.078999534,0.047937527,-0.273833454,-0.026678779,0.056811139,-0.395070434,-0.051777362,0.048643664,-0.468179226,-0.068886786,0.039917991,-0.527743936,-0.076027117,0.006550327,-0.257557511,-0.030707634,-0.020798758,-0.322044194,-0.067366681,-0.033584252,-0.307787418,-0.082452252,-0.03911911,-0.29501313,-0.08321537,-0.028446004,-0.219437957,-0.037876073,-0.052176505,-0.237114608,-0.071370243,-0.052550331,-0.188451827,-0.076933905,-0.045037672,-0.144176006,-0.072687126,
0,0,0,0.048697606,-0.044857264,-0.040171708,0.054644212,-0.12376982,-0.056408904,0.00404273,-0.179720402,-0.069008402,-0.042779669,-0.217264175,-0.081305771,0.081059054,-0.269878507,-0.028882769,0.105709478,-0.375410855,-0.050219095,0.114152059,-0.4440521,-0.067117936,0.116550043,-0.503815293,-0.079327456,0.033239201,-0.280552626,-0.027084862,0.02250202,-0.401836306,-0.044543373,0.005843893,-0.468711317,-0.060441635,-0.006649211,-0.521719873,-0.069659404,-0.007884786,-0.258910656,-0.029703,-0.039075866,-0.338117659,-0.05513637,-0.051006034,-0.365592986,-0.070462077,-0.05437775,-0.389867663,-0.077880002,-0.037963256,-0.214426935,-0.03631718,-0.065013379,-0.22734338,-0.066283657,-0.064023599,-0.186997235,-0.07327716,-0.053827792,-0.148636758,-0.072751,
