x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,x21,y21,z21,Label
0,0,0,0.026759475,-0.123223484,-0.007164855,0.088091463,-0.228987873,-0.019498774,0.132171452,-0.310390085,-0.029931961,0.13550958,-0.387030452,-0.037812612,0.156906486,-0.217618257,-0.032614949,0.226467729,-0.155503392,-0.04251417,0.194880784,-0.132395566,-0.046424328,0.158965766,-0.144642055,-0.050036463,0.171937317,-0.13535744,-0.039170376,0.229336202,-0.094470799,-0.036910071,0.197861582,-0.0766747,-0.032274621,0.163369685,-0.083625674,-0.034410837,0.177925944,-0.04869163,-0.043994079,0.223355889,-0.030766249,-0.040540847,0.192702442,-0.016214311,-0.024337719,0.160462976,-0.017920554,-0.019010399,0.176893532,0.02932173,-0.049103941,0.211045772,0.02351743,-0.043815817,0.18132022,0.036204576,-0.024741106,0.155358672,0.041612744,-0.013050348,ThumbsUp
0,0,0,0.043408602,-0.123507857,-0.00573155,0.120861322,-0.231700838,-0.020162298,0.163728133,-0.318866253,-0.034337161,0.161968485,-0.40244475,-0.045239503,0.16669023,-0.205561101,-0.037595501,0.267812148,-0.144997537,-0.05731324,0.233927831,-0.13041985,-0.063799786,0.194525078,-0.14141959,-0.066074075,0.167396277,-0.11579138,-0.046602806,0.264635041,-0.081355333,-0.05337519,0.230452195,-0.074495435,-0.045526555,0.189855978,-0.079575062,-0.043072077,0.165632144,-0.027647018,-0.054762194,0.246307954,-0.016270638,-0.055961391,0.214445457,-0.011268318,-0.034482042,0.177996263,-0.012016058,-0.02365245,0.162008107,0.048876524,-0.063159744,0.229706421,0.038079977,-0.055134422,0.200642005,0.041669548,-0.030752248,0.169714466,0.047150195,-0.015846787,ThumbsUp
0,0,0,0.033793047,-0.120701253,-0.010597459,0.106279358,-0.23587954,-0.026664297,0.148831025,-0.324153721,-0.041425992,0.147663549,-0.407702446,-0.052522697,0.155086562,-0.215729237,-0.04012261,0.258709386,-0.149788439,-0.062446777,0.224881276,-0.133537471,-0.071701129,0.184566125,-0.146970093,-0.075990443,0.158931956,-0.129876256,-0.047411591,0.255857065,-0.085484445,-0.056254097,0.220511988,-0.077086926,-0.050092519,0.179686084,-0.086809397,-0.048847065,0.159616545,-0.043399692,-0.054488514,0.239327356,-0.020455599,-0.057458886,0.205612019,-0.013221681,-0.03626458,0.169298515,-0.018207073,-0.025684055,0.157369986,0.033351898,-0.062390995,0.222424135,0.033267558,-0.056122754,0.191609338,0.0388363,-0.032864601,0.161027595,0.040492237,-0.018722859,ThumbsUp
0,0,0,0.020662203,-0.117166221,-0.01728826,0.080946907,-0.24792403,-0.036396149,0.10838598,-0.346124768,-0.05283191,0.093150541,-0.428890556,-0.064769122,0.106614754,-0.248942614,-0.054981712,0.226834193,-0.19464463,-0.083556573,0.196270987,-0.168756187,-0.094470907,0.1564468,-0.182659119,-0.100075546,0.111465067,-0.178831637,-0.061356913,0.228558853,-0.131283343,-0.076809052,0.19431515,-0.115498781,-0.070861879,0.156041697,-0.129003912,-0.070564281,0.117640883,-0.099653244,-0.067994821,0.222768381,-0.067426324,-0.076687309,0.190003529,-0.055343151,-0.057905644,0.153700352,-0.065376461,-0.049322914,0.125188038,-0.023591578,-0.076022509,0.21277453,-0.013803542,-0.073877897,0.183708057,-0.006782711,-0.055647131,0.148640156,-0.011755645,-0.045811299,ThumbsUp
0,0,0,0.025774434,-0.105674505,-0.006675932,0.08922036,-0.215088576,-0.023880131,0.135731176,-0.293960512,-0.040402518,0.149052128,-0.368292928,-0.051990138,0.098717734,-0.234555602,-0.058993468,0.23018916,-0.22943899,-0.090925632,0.211505428,-0.193503737,-0.099368637,0.172688112,-0.179861903,-0.099432585,0.102514505,-0.157898724,-0.069004228,0.23788096,-0.159683645,-0.091023011,0.214782432,-0.132341921,-0.082766665,0.176266626,-0.122257411,-0.076302884,0.109148815,-0.080694079,-0.077771661,0.231766775,-0.097138882,-0.090138299,0.210271969,-0.079110622,-0.067093244,0.174123839,-0.072105527,-0.051620779,0.116160259,-0.008908987,-0.086667394,0.211358443,-0.032626748,-0.088116964,0.20770891,-0.029700637,-0.069305731,0.188719049,-0.032809436,-0.055883845,ThumbsUp
0,0,0,0.019874394,-0.108524024,-0.010021382,0.082160249,-0.21999681,-0.028569523,0.126016364,-0.298542559,-0.045354578,0.132888019,-0.374180406,-0.056044101,0.084061623,-0.229267478,-0.065417584,0.218659341,-0.232127011,-0.10245854,0.197257996,-0.206415117,-0.112572301,0.15465124,-0.197070956,-0.112026807,0.08891359,-0.146897614,-0.073443699,0.230190933,-0.154866576,-0.1018156,0.200140685,-0.1423015,-0.093499634,0.1583924,-0.136196554,-0.084962416,0.09855099,-0.068907559,-0.08058818,0.226027489,-0.086848617,-0.096189853,0.198469818,-0.084644556,-0.07329211,0.160216838,-0.08441931,-0.05644485,0.110256672,0.00109303,-0.088266346,0.210837752,-0.024645865,-0.09135678,0.210561663,-0.039196968,-0.074802141,0.194657296,-0.054537892,-0.062161319,ThumbsUp
0,0,0,0.032905623,-0.115104854,0.000801797,0.099597037,-0.215170205,-0.014868212,0.147736132,-0.291175842,-0.031085234,0.156631291,-0.367889345,-0.044112943,0.136385918,-0.18765974,-0.052008365,0.249222785,-0.213696182,-0.081981011,0.263481915,-0.196698904,-0.088361912,0.235876799,-0.175081789,-0.082868271,0.145903409,-0.109336376,-0.063079171,0.280436754,-0.119243264,-0.085430444,0.277896672,-0.109651148,-0.07703045,0.246540427,-0.101789474,-0.065291614,0.14943254,-0.030956149,-0.071366251,0.266086638,-0.040553868,-0.083852045,0.250166923,-0.045472741,-0.062170565,0.215031296,-0.048918009,-0.043292176,0.147255391,0.041921258,-0.07853356,0.240423083,0.024599791,-0.077351213,0.231160313,0.008663774,-0.053120483,0.203706384,-0.002523363,-0.032866545,ThumbsUp
0,0,0,0.031493872,-0.120818615,0.000227902,0.100726008,-0.216824651,-0.006247213,0.151972592,-0.293377161,-0.012056647,0.154025674,-0.368086278,-0.015215022,0.148059011,-0.221467257,-0.022515377,0.229202509,-0.18369782,-0.032406062,0.200533748,-0.159681976,-0.034721207,0.165856898,-0.16127944,-0.03560381,0.162968904,-0.143169105,-0.029345142,0.227471203,-0.121211231,-0.026111186,0.197103798,-0.104348004,-0.018087927,0.16294238,-0.102131248,-0.016396321,0.16984418,-0.063471138,-0.03454807,0.21438846,-0.056094527,-0.027273903,0.186825603,-0.044868886,-0.010600058,0.155403137,-0.042490363,-0.004695841,0.170737416,0.007077098,-0.03978581,0.191230148,8.65E-05,-0.028201174,0.163717836,0.007562399,-0.009669978,0.140827239,0.010638058,0.001253061,ThumbsUp
0,0,0,0.035865277,-0.167863429,-0.025832228,0.040382028,-0.320809186,-0.047046302,0.024187595,-0.431289196,-0.065758845,0.004279137,-0.543337405,-0.078060431,-0.022699237,-0.347358942,-0.0713118,0.132709265,-0.309679806,-0.118450439,0.118780017,-0.26005739,-0.139402835,0.072149813,-0.266607702,-0.155548258,-0.046685427,-0.251725316,-0.082647434,0.141579032,-0.208860397,-0.128525419,0.115225255,-0.185923934,-0.13621637,0.073125094,-0.197471499,-0.147631196,-0.049580216,-0.14684552,-0.09591247,0.133395851,-0.109127939,-0.13575433,0.112961888,-0.097907901,-0.126956908,0.076138407,-0.114251494,-0.123763455,-0.038990557,-0.047418773,-0.112526221,0.108488083,-0.019800484,-0.146303711,0.104193926,-0.02503705,-0.151936023,0.06980738,-0.043154836,-0.156024037,ThumbsUp
0,0,0,0.029739141,-0.167816162,-0.032560609,0.027661473,-0.326380312,-0.054331034,0.008282363,-0.443366855,-0.073041555,-0.01902917,-0.560132116,-0.087334227,-0.051231474,-0.34622705,-0.072132621,0.107478291,-0.302719653,-0.119680095,0.091210693,-0.261187553,-0.146028366,0.037709057,-0.266566634,-0.16758306,-0.077362001,-0.237371981,-0.082646739,0.12489152,-0.189416826,-0.124463532,0.088415354,-0.173671305,-0.135727894,0.032028168,-0.186294556,-0.152642664,-0.078573048,-0.122294843,-0.095747773,0.121415675,-0.083984494,-0.131844308,0.084908813,-0.078205228,-0.12219556,0.028837234,-0.099662423,-0.120979946,-0.06513232,-0.012405872,-0.11403681,0.094266206,0.007525921,-0.148611497,0.075154841,-0.003389716,-0.153514098,0.024230242,-0.01876384,-0.157659691,ThumbsUp
0,0,0,0.019039482,-0.141913176,-0.049383977,-0.002330378,-0.281542242,-0.076379774,-0.027373001,-0.387133837,-0.098403951,-0.052936435,-0.494986296,-0.117582535,-0.109497905,-0.275700927,-0.081481037,0.050783455,-0.246525347,-0.144475115,0.06456098,-0.216862261,-0.185151113,0.029037446,-0.214404702,-0.212673945,-0.133710228,-0.165149271,-0.085466934,0.07418564,-0.147145808,-0.133906854,0.069886476,-0.12455672,-0.147805286,0.019361705,-0.119206369,-0.163483692,-0.133317351,-0.04955858,-0.096054068,0.060314357,-0.039499104,-0.146729601,0.06171751,-0.034083128,-0.141099764,0.018914372,-0.044222116,-0.137721194,-0.118247904,0.063978791,-0.112954086,0.032587439,0.058896601,-0.157842068,0.042579859,0.054366946,-0.163509158,0.01229462,0.055254757,-0.164451448,ThumbsUp
0,0,0,0.029470503,-0.171989441,-0.025438918,0.036658436,-0.331918061,-0.045036984,0.021339685,-0.445985466,-0.061909338,-0.002864718,-0.553764969,-0.073995786,-0.034105957,-0.34152934,-0.073383743,0.130212992,-0.310487062,-0.118839005,0.110685915,-0.268823683,-0.1416775,0.061420709,-0.278785646,-0.159860687,-0.051606566,-0.234000564,-0.085410224,0.146995991,-0.204365432,-0.126693385,0.11250183,-0.18523401,-0.133485796,0.065674186,-0.193487942,-0.145830648,-0.048413098,-0.122764707,-0.099000478,0.141530246,-0.099070609,-0.135644169,0.112865537,-0.091763139,-0.126146899,0.07145068,-0.108722329,-0.123599836,-0.033571273,-0.021274865,-0.116266267,0.124003857,-0.000903726,-0.150098072,0.119938344,-0.006231904,-0.15543391,0.085561842,-0.020422816,-0.15946904,ThumbsUp
0,0,0,0.027603477,-0.140914679,-0.047232713,0.028247803,-0.288095474,-0.075285058,0.011217058,-0.405122668,-0.0973269,-0.008998692,-0.524515033,-0.115683663,-0.052041203,-0.286215127,-0.099196557,0.119953156,-0.238872647,-0.151140485,0.09795624,-0.197542191,-0.178113494,0.03889823,-0.200113952,-0.200357098,-0.077658445,-0.171755254,-0.104848671,0.132930875,-0.125855207,-0.148438666,0.090200305,-0.108582497,-0.15606806,0.027196079,-0.116543591,-0.171756867,-0.078428805,-0.055734873,-0.113568034,0.123480231,-0.021222115,-0.153459329,0.083038628,-0.012872458,-0.141204942,0.023093879,-0.031835675,-0.138734329,-0.066363871,0.050967515,-0.128941569,0.096134126,0.071767807,-0.169198546,0.072018564,0.065709472,-0.175058681,0.016314983,0.056688666,-0.179912064,ThumbsUp
